STNCode|Name of Monitoring Location|State_Name|Temperature_Min|Temperature_Max|pH_Min|pH_Max|Conductivity_Min(μmhos/cm)|Conductivity_Max(μmhos/cm)|BOD_Min (mg/L)|BOD_Max (mg/L)|Nitrate N_Min (mg/L)|Nitrate N_Max (mg/L)|Faecal Coliform_Min (MPN/100ml)|Faecal Coliform_Max (MPN/100ml)|Total Coliform_Min (MPN/100ml)|Total Coliform_Max (MPN/100ml)|Total Dissolved Solids_Min (mg/L)|Total Dissolved Solids_Max (mg/L)|Fluoride_Min(mg/L)|Fluoride_Max(mg/L)|Arsenic_Min (mg/L)|Arsenic_Max (mg/L)
2259|GROUND WATER FROM DIPHU (GOVT. COLLEGE), ASSAM|ASSAM|26|26|7|7|312|312|2.2|2.2|0.9|0.9|-|-|-|-|180|180|0.3|0.3|-|-
3779|GROUND WATER FROMGARMUR, MAJULI|ASSAM|21|25|7.2|7.7|261|390|2.4|2.4|0.8|0.9|2|2|2|2|148|218|0.3|0.3|0.001|0.001
4008|GROUND WATER FROM GELEKY|ASSAM|23|25|7|7.2|216|287|2|2.2|0.8|0.9|2|2|2|2|128|160|0.3|0.3|-|-
2258|GROUND WATER FROMGOALPARA DIST. (GOALPARA COLLEGE ), ASSAM|ASSAM|24|30|7.3|7.5|320|362|2.1|2.3|0.9|1|2|2|2|2|176|200|0.3|0.3|0.01|0.01
2263|GROUND WATER FROMHIALAKANDI (NEAR ASTC BUS STAND ), ASSAM|ASSAM|25|25|7.3|7.4|264|268|2.5|2.5|1|1|2|2|2|2|150|152|0.3|0.3|0.01|0.01
2251|GROUND WATER FROMJAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT, ASSAM|ASSAM|26|29|7.2|7.3|318|323|1.8|2.2|0.6|0.8|2|2|2|2|176|180|0.3|0.4|0.01|0.01
3817|GROUND WATER FROMKAHILIPARA, GUWAHATI|ASSAM|22|24|7|7.2|182|318|2.1|2.2|0.7|0.7|2|2|2|2|110|182|0.3|0.3|0.001|0.001
2262|GROUND WATER FROMKARIMGANJ (COLLEGE), ASSAM|ASSAM|22|24|7.3|7.3|256|298|2|2.3|0.8|0.9|2|2|2|2|148|168|0.3|0.3|0.01|0.01
3815|GROUND WATER FROMKHANAPARA, GUWAHATI|ASSAM|28|28|7.3|7.3|289|340|2.1|2.2|0.7|0.9|2|2|2|2|164|192|0.3|0.3|-|-
2256|GROUND WATER FROMKOKRAJHAR DISTRICT (HS SCHOOL ), ASSAM|ASSAM|29|32|7.4|7.8|361|362|2|2.2|0.9|0.9|2|2|2|2|202|202|0.3|0.3|0.01|0.01
2248|GROUND WATER FROMLAKHIMPUR TOWN, ASSAM|ASSAM|28|32|7.5|8|241|258|2.1|2.4|0.6|0.7|2|2|2|2|140|146|0.3|0.5|0.01|0.01
4007|GROUND WATER FROMLAKWAH|ASSAM|22|25|6.8|7.5|208|242|1.9|2|0.7|0.9|2|2|2|2|122|140|0.3|0.3|-|-
2243|GROUND WATER FROM LEDO,MARGHERITA, ASSAM|ASSAM|24|24|7|7.2|321|329|2.2|2.4|0.9|0.9|2|2|2|2|178|180|0.3|0.3|0.01|0.01
3818|GROUND WATER FROMMALIGAON, GUWAHATI|ASSAM|24|26|7|7.6|190|223|2|2.2|0.8|0.9|2|2|2|2|118|126|0.3|0.3|-|-
3766|GROUND WATER FROMMANGALDOI TOWN|ASSAM|26|26|7.5|7.5|307|307|2|2|0.7|0.7|-|-|-|-|172|172|0.3|0.3|-|-
3802|GROUND WATER FROM MEHEPUR NEAR A CLUSTER OF NURSING HOME & DIAGNOSTICCENTRE, MEHERPUR, CACHAR|ASSAM|24|25|7.2|7.3|148|326|2|2.4|0.8|0.9|2|2|2|2|92|180|0.3|0.3|0.01|0.01
3801|GROUND WATER FROM MEHEPUR TRENCHING GROUND,MEHERPUR, CACHAR|ASSAM|24|25|6.9|7.2|326|336|2.3|2.4|0.7|0.8|2|2|2|2|180|184|0.3|0.3|0.01|0.01
2250|GROUND WATER FROMNAGAON (PANIGAON), ASSAM|ASSAM|26|28|7.6|7.7|326|332|2|2.2|1|1|2|2|2|2|180|190|0.3|0.3|0.01|0.01
4340|GROUND WATER FROMNAGAON COLLEGE, NAGAON|ASSAM|26|30|7.2|7.3|246|380|1.9|2.3|0.7|0.8|2|2|2|2|142|208|0.3|0.3|-|-
2253|GROUND WATER FROM NALBARI, ASSAM|ASSAM|19|20|7.4|7.9|241|312|2.4|2.5|0.8|1|2|2|2|2|138|174|0.3|0.6|0.01|0.01
2244|GROUND WATER FROM NAZIRA,ASSAM|ASSAM|26|27|6.8|7|290|312|2|2.6|0.8|0.8|2|2|2|2|164|174|0.3|0.3|0.01|0.01
2245|GROUND WATER FROMNUMALIGARH (NEAR NRL TE LABOR COLONY), ASSAM|ASSAM|28|29|7.2|7.2|360|363|2.1|2.3|0.8|0.8|2|2|2|2|194|206|0.3|0.3|0.01|0.01
4001|GROUND WATER FROMPANJABARI|ASSAM|28|28|7|7.2|286|342|1.9|2.3|0.6|0.8|2|2|2|2|162|186|0.3|0.3|-|-
4327|GROUND WATER FROM RAILWAY STATION ROAD,ROWTA|ASSAM|26|26|7.2|7.2|328|328|2.2|2.2|0.8|0.8|-|-|-|-|186|186|0.3|0.3|-|-
4002|GROUND WATER FROMSANTIPUR|ASSAM|24|25|7.4|7.4|194|330|2.1|2.2|0.8|1.1|2|2|2|2|114|190|0.3|0.3|0.001|0.001
4303|GROUND WATER FROM SATGAON|ASSAM|26|29|7.2|7.6|290|350|1.7|2|0.7|0.8|2|2|2|2|166|190|0.3|0.3|-|-
2246|GROUND WATER FROMSEMENCHAPARI, ASSAM|ASSAM|22|22|7.1|7.1|247|247|2.3|2.3|0.8|0.8|-|-|-|-|144|144|0.3|0.3|-|-
2247|GROUND WATER FROMSILAPATHAR, ASSAM|ASSAM|22|22|7.3|7.3|260|260|2.2|2.2|0.7|0.7|-|-|-|-|150|150|0.3|0.3|-|-
2249|GROUND WATER FROM TEZPUR(MISSION CHARIALI), ASSAM|ASSAM|24|24|7.4|7.4|195|195|2.1|2.1|0.9|0.9|2|2|2|2|114|114|0.3|0.3|0.001|0.001
4003|GROUND WATER FROM TEZPURCOLLEGIATE HIGH SCHOOL|ASSAM|25|26|7|7.4|170|288|2.2|2.3|0.9|1|2|2|2|2|101|164|0.3|0.3|0.001|0.001
3771|GROUND WATER FROM TITABARURBAN WATER SUPPLY, TITABAR|ASSAM|24|30|7.9|7.9|402|422|2.4|2.4|0.8|1|2|2|2|2|224|236|0.3|0.3|0.01|0.01
2264|GROUND WATER INPANCHGRAM MARKET NEAR CACHAR PAPER MILL, ASSAM|ASSAM|23|24|6.8|7.7|180|360|2|2.5|0.7|0.9|2|2|2|2|114|198|0.3|0.3|0.01|0.01
3805|GROUND WATER NEAR BADARPUR INDUSTRIAL AREA AT BADARPUR GHAT,KARIMGANJ|ASSAM|23|25|7|7.3|240|286|2.2|2.2|0.7|0.7|2|2|2|2|140|160|0.3|0.3|0.01|0.01
1536|GROUND WATER NEAR BPMSH.S. SCHOOL SONARI TOWN DIST CHARAIDEO|ASSAM|27|36|7.4|7.6|302|308|2.2|2.3|0.8|0.8|2|2|2|2|170|170|0.3|0.6|0.01|0.01
2255|GROUND WATER NEAR BPRL,DHALIGAON, ASSAM|ASSAM|28|31|7.4|7.4|338|342|2.2|2.5|0.8|1.1|2|2|2|2|186|190|0.3|0.3|0.01|0.01
3770|GROUND WATER NEAR  GARMUR RECREATION GROUND,JORHAT|ASSAM|25|27|6.8|6.9|233|238|2.2|2.2|0.7|0.8|2|2|2|2|134|136|0.3|0.3|0.01|0.01
3790|GROUND WATER NEAR GOGAMUKH PUBLIC WATER SUPPLY SCHEME, GOGAMUKH,DHEMAJI|ASSAM|22|22|7.2|7.2|205|205|2.1|2.1|0.8|0.8|-|-|-|-|120|120|0.3|0.3|-|-
2252|GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI, ASSAM|ASSAM|27|29|7.9|8|390|392|2.2|2.8|1.1|1.4|2|2|2|2|214|218|0.4|0.6|0.01|0.01
3762|GROUND WATER NEARMUNICIPAL WASTE PROCESSING FACILITY, MORABHARLI, TEZPUR|ASSAM|25|26|7.2|7.2|270|303|2|2.2|0.7|0.8|2|2|2|2|156|170|0.3|0.3|0.001|0.001
4339|GROUND WATER NEAR NAGAONTOWN PIPE WATER SUPPLY SCHEME(Z-111), NAGAON|ASSAM|26|26|7.4|7.4|265|265|2.4|2.4|0.9|0.9|-|-|-|-|154|154|0.3|0.3|-|-
4330|GROUND WATER NEAR PANGRAM STONE CRASHERCLUSTER|ASSAM|20|20|7.5|7.5|91|91|2|2|0.6|0.6|-|-|-|-|62|62|0.3|0.3|-|-
3794|TUBE WELL AT R/O SRI ANIL BAORA AT BOSAGAON NEAR BY THE ATHKHALIA, NAMGHAR, PO:PULIKAITONI|ASSAM|26|26|7.4|7.6|363|371|2.3|2.4|0.8|0.8|2|2|2|2|198|210|0.3|0.3|0.01|0.01
3793|TUBE WELL AT R/O SRI TANKESWAR DAS, RUPJYOTI COLONY (NAGABALI) MUNICIPALITY DUMPING SITE,GOLAGHAT|ASSAM|27|28|6.8|7|348|355|2.2|2.4|0.9|0.9|2|2|2|2|202|210|0.3|0.3|0.01|0.01
3795|TUBE WELL OF WOKHA GORONGA GIRLS ME SCHOOL,GOROUNGA TINIALI, FURKATING|ASSAM|26|27|7.3|7.3|388|394|2.2|2.5|0.8|1|2|2|2|2|210|218|0.2|0.3|0.01|0.01
