STNCode|Name of Monitoring Location|State_Name|Temperature_Min|Temperature_Max|pH_Min|pH_Max|Conductivity_Min(μmhos/cm)|Conductivity_Max(μmhos/cm)|BOD_Min (mg/L)|BOD_Max (mg/L)|Nitrate N_Min (mg/L)|Nitrate N_Max (mg/L)|Faecal Coliform_Min (MPN/100ml)|Faecal Coliform_Max (MPN/100ml)|Total Coliform_Min (MPN/100ml)|Total Coliform_Max (MPN/100ml)|Total Dissolved Solids_Min (mg/L)|Total Dissolved Solids_Max (mg/L)|Fluoride_Min(mg/L)|Fluoride_Max(mg/L)|Arsenic_Min (mg/L)|Arsenic_Max (mg/L)
4384|BOREWELL IN FRONT OF M/S BHAGEERADHA CHEMICALS & INDUSTRIES LTD, CHERUVUKOMMUPALEM (V)ONGOLE (M)|ANDHRA PRADESH|22|23|7.2|7.3|9090|10500|2|2.2|5.2|7.41|3|3|23|28|5634|6600|1.4|1.7|0.001|0.001
1513|BOREWELL KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGARVIJJAYAWADA|ANDHRA PRADESH|25|25|7.1|7.8|1877|1970|1.4|1.8|0.3|0.7|3|3|21|39|1120|1160|0.3|0.3|0.001|0.001
1523|BOREWELL NEAR M/S ANDHRASUGARS LTD. , KOVVUR|ANDHRA PRADESH|24|26|7|7.6|310|1447|2|2|0.79|1.1|4|7|75|93|212|988|0.2|1.1|0.001|0.001
4392|BOREWELL NEAR SRI GOVINDARAJA SWAMY TEMPLE, TIRUPATI TOWN|ANDHRA PRADESH|27|27|6.9|7.5|1380|1414|1|1|1.4|2.6|2|3|2|12|714|784|0.6|1.1|0.001|0.001
1520|BOREWELL NEAR SWARNAMUKHI RIVER ATSRIKALAHASTI|ANDHRA PRADESH|28|29|7.3|7.3|1027|1266|1|1|2.2|2.4|2|2|2|11|582|642|0.4|0.5|0.002|0.002
1517|BOREWELL NEAR TUNGBHADRARIVER KURNOOL|ANDHRA PRADESH|23|26|7.8|7.9|4520|5663|1|1|6.7|10.1|2|3|2|29|2568|3370|1.3|1.8|0.001|0.001
1516|BOREWELL OF NAVLOKGARDENS, NELLORE|ANDHRA PRADESH|20|21|8.1|8.1|1080|1100|1.2|1.4|1.1|1.18|3|3|15|21|630|658|0.4|0.5|0.001|0.001
1514|BOREWELL VIJAY KUMARAUTONAGAR VIJAYAWADA|ANDHRA PRADESH|25|25|7.2|7.9|1780|2080|1.4|1.8|0.3|0.6|3|3|20|23|1050|1220|0.2|0.5|0.001|0.001
4376|BOREWELL WATER , APIICOFFICE, IDA KONDAPALLI, IBRAHIMPATNAM (M)|ANDHRA PRADESH|26|26|7.1|7.6|3850|3860|2|2.2|2.47|3.8|3|3|20|21|2310|2348|0.8|1|0.001|0.001
4380|BOREWELL WATER , SRI VENKATESWARA SWAMY TEMPLE, VENKATAPALEM (V),TULLUR (M)|ANDHRA PRADESH|22|22|7.1|7.5|860|899|1|1.8|0.3|1.5|3|3|14|15|508|550|0.5|0.6|0.001|0.001
4382|BOREWELL WATER POLICESTATION, AUTONAGAR, PEDAKAKANI, GUNTUR|ANDHRA PRADESH|21|22|7.1|8.1|4450|4580|2|2.2|3.5|3.86|3|3|28|28|2790|2840|0.2|0.8|0.001|0.001
4393|CLOSED MSW DUMPSITE,UKKAYAPALLI (V), KADAPA (M)|ANDHRA PRADESH|24|25|7.3|7.4|2810|3352|1|1|10.4|13.1|2|9|2|71|1589|1785|0.6|1.2|0.004|0.004
3090|HAND PUMP AT PITTAVANIPALEM,VISHAKHAPATNAM|ANDHRA PRADESH|27|27|6.7|7.6|1610|1983|2.2|2.2|2.5|18.8|3|4|75|75|1120|1312|0.3|0.5|0.001|0.001
3089|HAND PUMP AT TANAM VILL.,VISHAKHAPATNAM|ANDHRA PRADESH|27|28|7.2|7.9|2180|2180|2.1|2.2|1.6|13.1|4|4|75|93|1480|1524|1.1|1.3|0.001|0.001
1524|OPEN WELL NEAR PARTAP NAGAR BRIDGE -KAKINADA|ANDHRA PRADESH|27|30|7.3|7.7|1147|1295|2.1|2.1|0.9|4.78|4|4|75|75|784|848|0.3|1|0.001|0.001
1521|OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 , MINDI ,VISAKHAPATNAM|ANDHRA PRADESH|26|27|6.8|7.5|1977|2580|1.8|4|1.5|12.4|7|7|93|120|1296|1812|0.8|0.8|0.001|0.001
1522|OPEN WELL PEDDANUVVI -VIZIANAGARAM|ANDHRA PRADESH|27|28|7.4|7.9|1120|1190|1.6|2.1|1.5|2.87|3|9|75|75|780|792|0.5|0.8|0.001|0.001
26|WELL AT GRAM PANCHAYATOFFICE, KAANURU, VIJAYWADA|ANDHRA PRADESH|25|25|7|8.1|1597|2160|1|2.2|0.7|1.89|3|3|20|23|942|1314|0.4|0.7|0.001|0.001
1537|GROUND WATER AT (JORHAT, ASSAM)|ASSAM|25|26|7|7.2|276|278|2.3|2.3|0.7|0.8|2|2|2|2|156|224|0.3|0.3|0.01|0.01
1539|GROUND WATER AT BARPETA, ASSAM|ASSAM|30|31|7.4|7.5|304|329|2|2.1|0.8|0.8|2|2|2|2|172|180|0.3|0.3|0.01|0.01
1540|GROUND WATER AT BONAIGAON, ASSAM|ASSAM|27|29|7.2|7.6|366|390|2|2.6|0.7|1|2|2|2|2|202|218|0.3|0.3|0.01|0.01
1533|GROUND WATER AT DIGBOI,TINSUKIA DISTT., ASSAM|ASSAM|24|26|6.8|7.1|328|332|2.3|2.5|1.1|1.4|2|2|2|2|184|218|0.2|0.3|0.01|0.01
1534|GROUND WATER AT KARBIANGLONG DISTT., ASSAM|ASSAM|25|25|7.2|7.2|308|308|2.3|2.3|0.8|0.8|-|-|-|-|176|176|0.3|0.3|-|-
1541|GROUND WATER AT NOONMATIGUWAHATI, ASSAM|ASSAM|27|29|7.3|7.6|401|408|2.3|2.5|0.8|1|2|2|2|2|218|224|0.3|0.3|0.01|0.01
1535|GROUND WATER AT SIBSAGAR GOVT ME SCHOOL WARD 6, REDCROSS ROAD , ASSAM|ASSAM|25|26|6.8|7.3|284|288|2.2|2.6|0.7|0.8|2|2|2|2|160|166|0.3|0.3|0.01|0.01
1542|GROUND WATER AT SIJUBARIMAZAR, NATBOMA HATIGAON|ASSAM|27|28|7.8|7.8|352|354|2|2.6|0.8|1|2|2|2|2|194|200|0.3|0.4|0.01|0.01
1538|GROUND WATER AT SILCHAR,ASSAM|ASSAM|23|23|6.8|7.4|196|291|2.1|2.2|0.8|0.9|2|2|2|2|118|166|0.3|0.3|-|-
4328|GROUND WATER BESIDE MSWDUMPING SITE, DHEKIAJULI|ASSAM|26|26|7.7|7.7|315|315|2|2|0.9|0.9|-|-|-|-|178|178|0.3|0.3|-|-
4338|GROUND WATER FORM TENGA PUKHURI KUKURACHOWAWATER SUPPLY TENGA PUKHURI|ASSAM|23|28|6.7|7.8|262|266|1.8|2.2|0.8|1|2|2|2|2|142|150|0.3|0.3|-|-
4335|GROUND WATER FROMAMGURI, AMGURI TOWN|ASSAM|23|25|6.8|8|248|259|2.1|2.3|0.9|1.1|2|2|2|2|140|148|0.3|0.3|0.01|0.01
2254|GROUND WATER FROMBARPETA ROAD(RLY STATION), ASSAM|ASSAM|25|32|7.6|7.6|311|322|2|2.2|0.7|0.9|2|2|2|2|170|180|0.3|0.3|0.01|0.01
3816|GROUND WATER FROMBASISTHA, GUWAHATI|ASSAM|26|28|7.4|7.7|295|351|2|2.1|0.7|1|2|2|2|2|168|198|0.3|0.3|-|-
3761|GROUND WATER FROMBISWANATH CHARIALI TOWN|ASSAM|26|30|7.6|7.8|258|262|2.2|2.3|0.8|0.8|2|2|2|2|148|148|0.3|0.3|0.01|0.01
3813|GROUND WATER FROM BONDA,GUWAHATI|ASSAM|25|29|7.6|8|365|370|2.3|2.3|0.8|0.8|2|2|2|2|202|204|0.3|0.3|0.01|0.01
4333|GROUND WATER FROM DEMOWWATER SUPPLY DEMOW TOWN|ASSAM|22|26|7.3|7.4|235|280|2|2|0.8|0.9|2|2|2|2|136|158|0.3|0.3|0.01|0.01
2257|GROUND WATER FROM DHUBRIDISTRICT (COLLEGE NAGAR ), ASSAM|ASSAM|34|37|7.3|7.4|308|356|2.4|2.6|0.9|1|2|2|2|2|176|196|0.2|0.3|0.01|0.01
2259|GROUND WATER FROM DIPHU (GOVT. COLLEGE), ASSAM|ASSAM|26|26|7|7|312|312|2.2|2.2|0.9|0.9|-|-|-|-|180|180|0.3|0.3|-|-
3779|GROUND WATER FROMGARMUR, MAJULI|ASSAM|21|25|7.2|7.7|261|390|2.4|2.4|0.8|0.9|2|2|2|2|148|218|0.3|0.3|0.001|0.001
4008|GROUND WATER FROM GELEKY|ASSAM|23|25|7|7.2|216|287|2|2.2|0.8|0.9|2|2|2|2|128|160|0.3|0.3|-|-
2258|GROUND WATER FROMGOALPARA DIST. (GOALPARA COLLEGE ), ASSAM|ASSAM|24|30|7.3|7.5|320|362|2.1|2.3|0.9|1|2|2|2|2|176|200|0.3|0.3|0.01|0.01
2263|GROUND WATER FROMHIALAKANDI (NEAR ASTC BUS STAND ), ASSAM|ASSAM|25|25|7.3|7.4|264|268|2.5|2.5|1|1|2|2|2|2|150|152|0.3|0.3|0.01|0.01
2251|GROUND WATER FROMJAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT, ASSAM|ASSAM|26|29|7.2|7.3|318|323|1.8|2.2|0.6|0.8|2|2|2|2|176|180|0.3|0.4|0.01|0.01
3817|GROUND WATER FROMKAHILIPARA, GUWAHATI|ASSAM|22|24|7|7.2|182|318|2.1|2.2|0.7|0.7|2|2|2|2|110|182|0.3|0.3|0.001|0.001
2262|GROUND WATER FROMKARIMGANJ (COLLEGE), ASSAM|ASSAM|22|24|7.3|7.3|256|298|2|2.3|0.8|0.9|2|2|2|2|148|168|0.3|0.3|0.01|0.01
3815|GROUND WATER FROMKHANAPARA, GUWAHATI|ASSAM|28|28|7.3|7.3|289|340|2.1|2.2|0.7|0.9|2|2|2|2|164|192|0.3|0.3|-|-
2256|GROUND WATER FROMKOKRAJHAR DISTRICT (HS SCHOOL ), ASSAM|ASSAM|29|32|7.4|7.8|361|362|2|2.2|0.9|0.9|2|2|2|2|202|202|0.3|0.3|0.01|0.01
2248|GROUND WATER FROMLAKHIMPUR TOWN, ASSAM|ASSAM|28|32|7.5|8|241|258|2.1|2.4|0.6|0.7|2|2|2|2|140|146|0.3|0.5|0.01|0.01
4007|GROUND WATER FROMLAKWAH|ASSAM|22|25|6.8|7.5|208|242|1.9|2|0.7|0.9|2|2|2|2|122|140|0.3|0.3|-|-
2243|GROUND WATER FROM LEDO,MARGHERITA, ASSAM|ASSAM|24|24|7|7.2|321|329|2.2|2.4|0.9|0.9|2|2|2|2|178|180|0.3|0.3|0.01|0.01
3818|GROUND WATER FROMMALIGAON, GUWAHATI|ASSAM|24|26|7|7.6|190|223|2|2.2|0.8|0.9|2|2|2|2|118|126|0.3|0.3|-|-
3766|GROUND WATER FROMMANGALDOI TOWN|ASSAM|26|26|7.5|7.5|307|307|2|2|0.7|0.7|-|-|-|-|172|172|0.3|0.3|-|-
3802|GROUND WATER FROM MEHEPUR NEAR A CLUSTER OF NURSING HOME & DIAGNOSTICCENTRE, MEHERPUR, CACHAR|ASSAM|24|25|7.2|7.3|148|326|2|2.4|0.8|0.9|2|2|2|2|92|180|0.3|0.3|0.01|0.01
3801|GROUND WATER FROM MEHEPUR TRENCHING GROUND,MEHERPUR, CACHAR|ASSAM|24|25|6.9|7.2|326|336|2.3|2.4|0.7|0.8|2|2|2|2|180|184|0.3|0.3|0.01|0.01
2250|GROUND WATER FROMNAGAON (PANIGAON), ASSAM|ASSAM|26|28|7.6|7.7|326|332|2|2.2|1|1|2|2|2|2|180|190|0.3|0.3|0.01|0.01
4340|GROUND WATER FROMNAGAON COLLEGE, NAGAON|ASSAM|26|30|7.2|7.3|246|380|1.9|2.3|0.7|0.8|2|2|2|2|142|208|0.3|0.3|-|-
2253|GROUND WATER FROM NALBARI, ASSAM|ASSAM|19|20|7.4|7.9|241|312|2.4|2.5|0.8|1|2|2|2|2|138|174|0.3|0.6|0.01|0.01
2244|GROUND WATER FROM NAZIRA,ASSAM|ASSAM|26|27|6.8|7|290|312|2|2.6|0.8|0.8|2|2|2|2|164|174|0.3|0.3|0.01|0.01
2245|GROUND WATER FROMNUMALIGARH (NEAR NRL TE LABOR COLONY), ASSAM|ASSAM|28|29|7.2|7.2|360|363|2.1|2.3|0.8|0.8|2|2|2|2|194|206|0.3|0.3|0.01|0.01
4001|GROUND WATER FROMPANJABARI|ASSAM|28|28|7|7.2|286|342|1.9|2.3|0.6|0.8|2|2|2|2|162|186|0.3|0.3|-|-
4327|GROUND WATER FROM RAILWAY STATION ROAD,ROWTA|ASSAM|26|26|7.2|7.2|328|328|2.2|2.2|0.8|0.8|-|-|-|-|186|186|0.3|0.3|-|-
4002|GROUND WATER FROMSANTIPUR|ASSAM|24|25|7.4|7.4|194|330|2.1|2.2|0.8|1.1|2|2|2|2|114|190|0.3|0.3|0.001|0.001
4303|GROUND WATER FROM SATGAON|ASSAM|26|29|7.2|7.6|290|350|1.7|2|0.7|0.8|2|2|2|2|166|190|0.3|0.3|-|-
2246|GROUND WATER FROMSEMENCHAPARI, ASSAM|ASSAM|22|22|7.1|7.1|247|247|2.3|2.3|0.8|0.8|-|-|-|-|144|144|0.3|0.3|-|-
2247|GROUND WATER FROMSILAPATHAR, ASSAM|ASSAM|22|22|7.3|7.3|260|260|2.2|2.2|0.7|0.7|-|-|-|-|150|150|0.3|0.3|-|-
2249|GROUND WATER FROM TEZPUR(MISSION CHARIALI), ASSAM|ASSAM|24|24|7.4|7.4|195|195|2.1|2.1|0.9|0.9|2|2|2|2|114|114|0.3|0.3|0.001|0.001
4003|GROUND WATER FROM TEZPURCOLLEGIATE HIGH SCHOOL|ASSAM|25|26|7|7.4|170|288|2.2|2.3|0.9|1|2|2|2|2|101|164|0.3|0.3|0.001|0.001
3771|GROUND WATER FROM TITABARURBAN WATER SUPPLY, TITABAR|ASSAM|24|30|7.9|7.9|402|422|2.4|2.4|0.8|1|2|2|2|2|224|236|0.3|0.3|0.01|0.01
2264|GROUND WATER INPANCHGRAM MARKET NEAR CACHAR PAPER MILL, ASSAM|ASSAM|23|24|6.8|7.7|180|360|2|2.5|0.7|0.9|2|2|2|2|114|198|0.3|0.3|0.01|0.01
3805|GROUND WATER NEAR BADARPUR INDUSTRIAL AREA AT BADARPUR GHAT,KARIMGANJ|ASSAM|23|25|7|7.3|240|286|2.2|2.2|0.7|0.7|2|2|2|2|140|160|0.3|0.3|0.01|0.01
1536|GROUND WATER NEAR BPMSH.S. SCHOOL SONARI TOWN DIST CHARAIDEO|ASSAM|27|36|7.4|7.6|302|308|2.2|2.3|0.8|0.8|2|2|2|2|170|170|0.3|0.6|0.01|0.01
2255|GROUND WATER NEAR BPRL,DHALIGAON, ASSAM|ASSAM|28|31|7.4|7.4|338|342|2.2|2.5|0.8|1.1|2|2|2|2|186|190|0.3|0.3|0.01|0.01
3770|GROUND WATER NEAR  GARMUR RECREATION GROUND,JORHAT|ASSAM|25|27|6.8|6.9|233|238|2.2|2.2|0.7|0.8|2|2|2|2|134|136|0.3|0.3|0.01|0.01
3790|GROUND WATER NEAR GOGAMUKH PUBLIC WATER SUPPLY SCHEME, GOGAMUKH,DHEMAJI|ASSAM|22|22|7.2|7.2|205|205|2.1|2.1|0.8|0.8|-|-|-|-|120|120|0.3|0.3|-|-
2252|GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI, ASSAM|ASSAM|27|29|7.9|8|390|392|2.2|2.8|1.1|1.4|2|2|2|2|214|218|0.4|0.6|0.01|0.01
3762|GROUND WATER NEARMUNICIPAL WASTE PROCESSING FACILITY, MORABHARLI, TEZPUR|ASSAM|25|26|7.2|7.2|270|303|2|2.2|0.7|0.8|2|2|2|2|156|170|0.3|0.3|0.001|0.001
4339|GROUND WATER NEAR NAGAONTOWN PIPE WATER SUPPLY SCHEME(Z-111), NAGAON|ASSAM|26|26|7.4|7.4|265|265|2.4|2.4|0.9|0.9|-|-|-|-|154|154|0.3|0.3|-|-
4330|GROUND WATER NEAR PANGRAM STONE CRASHERCLUSTER|ASSAM|20|20|7.5|7.5|91|91|2|2|0.6|0.6|-|-|-|-|62|62|0.3|0.3|-|-
3794|TUBE WELL AT R/O SRI ANIL BAORA AT BOSAGAON NEAR BY THE ATHKHALIA, NAMGHAR, PO:PULIKAITONI|ASSAM|26|26|7.4|7.6|363|371|2.3|2.4|0.8|0.8|2|2|2|2|198|210|0.3|0.3|0.01|0.01
3793|TUBE WELL AT R/O SRI TANKESWAR DAS, RUPJYOTI COLONY (NAGABALI) MUNICIPALITY DUMPING SITE,GOLAGHAT|ASSAM|27|28|6.8|7|348|355|2.2|2.4|0.9|0.9|2|2|2|2|202|210|0.3|0.3|0.01|0.01
3795|TUBE WELL OF WOKHA GORONGA GIRLS ME SCHOOL,GOROUNGA TINIALI, FURKATING|ASSAM|26|27|7.3|7.3|388|394|2.2|2.5|0.8|1|2|2|2|2|210|218|0.2|0.3|0.01|0.01
1830|BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITALCAMPUS, MUZAFFARPUR|BIHAR|24|24|7.3|7.3|927|927|-|-|2.79|2.79|-|-|-|-|594|594|0.2|0.2|-|-
1826|BORE WELL WATER AT BHUT NATH ROAD WATER TANK SEC-3,KANKARBAGH,PATNA|BIHAR|25|26|7.4|7.7|430|491|-|-|0.5|3.42|23|1600|23|1600|284|298|0.2|0.3|-|-
1825|BORE WELL WATER AT KATRABAZAR WATER TANK, MALSALAMI, PATNA|BIHAR|21|28|7.3|7.5|435|453|-|-|0.3|3.52|-|-|-|-|286|296|0.2|0.3|-|-
1829|BORE WELL WATER FROM IGIMSCAMPUS, PATNA|BIHAR|25|28|7.4|7.6|410|509|-|-|0.3|2.83|5|920|9|920|284|336|0.2|0.3|-|-
1828|BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE, NEAR HIGH COURT,PATNA|BIHAR|26|30|7.4|7.5|448|528|-|-|0.4|2.77|2|12|2|23|292|334|0.2|0.4|-|-
1831|BORE WELL WATER MMC PUMP HOUSE BRAHMPURA NAKA,MUZAFFARPUR|BIHAR|24|24|7.5|7.5|641|641|-|-|2.58|2.58|7|7|16|16|416|416|0.2|0.2|-|-
1844|BORE WELL WATER NEARCOMMISSIONARY OFFICE, CHAPRA|BIHAR|26|26|7|7|1160|1160|-|-|0.34|0.34|9|9|16|16|742|742|0.3|0.3|-|-
3139|GROUND WATER FROM ARARIA|BIHAR|28|28|7.6|7.6|296|296|-|-|2.39|2.39|-|-|-|-|192|192|0.2|0.2|-|-
3138|GROUND WATER FROM ARRAH|BIHAR|23|26|7|7.7|731|765|-|-|3.37|3.4|350|350|920|920|482|482|0.3|0.3|-|-
3143|GROUND WATER FROMBAGAHA|BIHAR|25|25|7.6|7.6|345|345|-|-|0.3|0.3|-|-|-|-|218|218|0.2|0.2|-|-
3144|GROUND WATER FROM BARH|BIHAR|20|22|7.4|7.5|727|934|-|-|0.3|3.48|23|23|33|33|478|540|0.2|0.3|-|-
1837|GROUND WATER FROMBEGUSARAI|BIHAR|21|21|7.7|7.7|828|828|-|-|0.3|0.3|23|23|23|23|544|544|0.2|0.2|-|-
3140|GROUND WATER FROM BETTIAH|BIHAR|25|25|7.2|7.2|968|968|-|-|0.39|0.39|23|23|23|23|636|636|0.2|0.2|-|-
3142|GROUND WATER FROMBIKRAMGANJ|BIHAR|22|22|7.9|7.9|383|383|-|-|0.3|0.3|23|23|23|23|250|250|0.2|0.2|-|-
3141|GROUND WATER FROMBODHGAYA|BIHAR|20|20|7.7|7.7|785|785|-|-|4.82|4.82|23|23|23|23|524|524|0.3|0.3|-|-
3145|GROUND WATER FROM DEHRION SONE|BIHAR|20|20|7.4|7.4|238|238|-|-|1.12|1.12|23|23|23|23|156|156|0.2|0.2|-|-
3146|GROUND WATER FROMDUMRAON|BIHAR|25|27|7.8|8|407|464|-|-|0.6|0.62|35000|35000|35000|35000|270|314|0.2|0.3|-|-
3148|GROUND WATER FROM JAMALPUR|BIHAR|20|20|7|7|877|877|-|-|0.3|0.3|-|-|-|-|574|574|0.2|0.2|-|-
3147|GROUND WATER FROM JAYNAGAR|BIHAR|20|24|7.2|7.4|383|402|-|-|0.3|2.1|23|23|23|23|236|268|0.2|0.3|-|-
3161|GROUND WATER FROMKATIHAR|BIHAR|25|26|7.6|8.1|810|1120|-|-|1.8|2.39|33|33|49|49|526|732|0.2|0.3|-|-
3149|GROUND WATER FROM KUDRA|BIHAR|22|22|7.9|7.9|571|571|-|-|0.36|0.36|23|23|23|23|378|378|0.2|0.2|-|-
3150|GROUND WATER FROM MANER|BIHAR|24|24|7.2|7.2|773|775|-|-|0.5|2.24|-|-|-|-|498|502|0.2|0.2|-|-
3151|GROUND WATER FROMMOHANIA|BIHAR|23|23|7.8|7.8|1040|1040|-|-|0.98|0.98|23|23|23|23|732|732|0.3|0.3|-|-
3152|GROUND WATER FROMNARKATIAGANJ|BIHAR|24|24|7.9|7.9|232|232|-|-|0.3|0.3|23|23|23|23|154|154|0.2|0.2|-|-
2593|GROUND WATER FROMNAWADA|BIHAR|21|21|7.2|7.2|1280|1280|-|-|2.57|2.57|23|23|23|23|908|908|0.2|0.2|-|-
3153|GROUND WATER FROM PIRO|BIHAR|22|22|7.5|7.5|1110|1110|-|-|4.37|4.37|23|23|23|23|780|780|0.2|0.2|-|-
3154|GROUND WATER FROMRAMKUND GAYA|BIHAR|24|24|7.4|7.4|935|935|-|-|0.3|0.3|23|23|23|23|612|612|0.2|0.2|-|-
3160|GROUND WATER FROM RAXAUL|BIHAR|25|25|7.9|7.9|269|269|-|-|0.3|0.3|23|23|23|23|172|172|0.2|0.2|-|-
2594|GROUND WATER FROMSAHARSA|BIHAR|25|26|7.2|8.6|843|958|-|-|1.8|6.12|23|23|23|23|542|628|0.2|0.3|-|-
2595|GROUND WATER FROMSAMASTIPUR|BIHAR|22|22|7.2|8.3|728|927|-|-|0.3|2.2|5|350|7|540|468|634|0.2|0.3|-|-
3156|GROUND WATER FROMSAMASTIPUR|BIHAR|22|22|6.7|7|1090|1670|-|-|0.3|2.4|7|7|9|9|724|1098|0.2|0.4|-|-
3159|GROUND WATER FROMSHAHPUR|BIHAR|25|27|6.8|7.2|568|858|-|-|1|2.68|-|-|-|-|368|566|0.2|0.3|-|-
3158|GROUND WATER FROMSHERGHATI|BIHAR|20|20|7.6|7.6|299|299|-|-|0.3|0.3|23|23|23|23|194|194|0.2|0.2|-|-
2596|GROUND WATER FROMSITAMARHI|BIHAR|24|25|7.7|7.9|264|321|-|-|0.4|5.59|23|23|23|23|172|214|0.2|0.2|-|-
2597|GROUND WATER FROM SIWAN|BIHAR|24|24|7.3|7.3|448|448|-|-|0.3|0.3|23|23|23|23|292|292|0.2|0.2|-|-
3157|GROUND WATER FROMSULTANGANJ|BIHAR|21|23|6.9|6.9|1120|1370|-|-|0.3|0.3|16|16|23|130|718|902|0.2|0.3|-|-
3155|GROUND WATER FROM SUPUAL|BIHAR|25|27|7.5|8|643|839|-|-|1.7|4.6|-|-|-|-|424|558|0.2|0.2|-|-
1827|GROUND WATER FROM TAP WATER COMING FROM OVER HEAD TANK PMCH CAMPUS,PATNA|BIHAR|26|27|7.5|7.7|439|472|-|-|0.5|3.11|2|23|2|23|298|310|0.2|0.3|-|-
